"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Colorado"	"08"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	151	17580504	0.9
	"Connecticut"	"09"	"Female"	"F"	"Unintentional"	"1"	4398	11006425	40.0
	"Connecticut"	"09"	"Female"	"F"	"Suicide"	"2"	574	11006425	5.2
	"Connecticut"	"09"	"Female"	"F"	"Homicide"	"3"	170	11006425	1.5
	"Connecticut"	"09"	"Female"	"F"	"Undetermined "	"4"	48	11006425	0.4
	"Connecticut"	"09"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	0	11006425	Unreliable
	"Connecticut"	"09"	"Male"	"M"	"Unintentional"	"1"	9841	10537511	93.4
	"Connecticut"	"09"	"Male"	"M"	"Suicide"	"2"	1799	10537511	17.1
	"Connecticut"	"09"	"Male"	"M"	"Homicide"	"3"	640	10537511	6.1
	"Connecticut"	"09"	"Male"	"M"	"Undetermined "	"4"	136	10537511	1.3
	"Connecticut"	"09"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	30	10537511	0.3
	"Delaware"	"10"	"Female"	"F"	"Unintentional"	"1"	1539	3084950	49.9
	"Delaware"	"10"	"Female"	"F"	"Suicide"	"2"	146	3084950	4.7
	"Delaware"	"10"	"Female"	"F"	"Homicide"	"3"	86	3084950	2.8
	"Delaware"	"10"	"Female"	"F"	"Undetermined "	"4"	34	3084950	1.1
	"Delaware"	"10"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	3084950	Suppressed
	"Delaware"	"10"	"Male"	"M"	"Unintentional"	"1"	3140	2896464	108.4
	"Delaware"	"10"	"Male"	"M"	"Suicide"	"2"	613	2896464	21.2
	"Delaware"	"10"	"Male"	"M"	"Homicide"	"3"	332	2896464	11.5
	"Delaware"	"10"	"Male"	"M"	"Undetermined "	"4"	54	2896464	1.9
	"Delaware"	"10"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	10	2896464	Unreliable
	"District of Columbia"	"11"	"Female"	"F"	"Unintentional"	"1"	1020	2175594	46.9
	"District of Columbia"	"11"	"Female"	"F"	"Suicide"	"2"	71	2175594	3.3
	"District of Columbia"	"11"	"Female"	"F"	"Homicide"	"3"	135	2175594	6.2
	"District of Columbia"	"11"	"Female"	"F"	"Undetermined "	"4"	36	2175594	1.7
	"District of Columbia"	"11"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	2175594	Suppressed
	"District of Columbia"	"11"	"Male"	"M"	"Unintentional"	"1"	2243	1966251	114.1
	"District of Columbia"	"11"	"Male"	"M"	"Suicide"	"2"	196	1966251	10.0
	"District of Columbia"	"11"	"Male"	"M"	"Homicide"	"3"	994	1966251	50.6
	"District of Columbia"	"11"	"Male"	"M"	"Undetermined "	"4"	116	1966251	5.9
	"District of Columbia"	"11"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	Suppressed	1966251	Suppressed
	"Florida"	"12"	"Female"	"F"	"Unintentional"	"1"	31870	66853446	47.7
	"Florida"	"12"	"Female"	"F"	"Suicide"	"2"	4653	66853446	7.0
	"Florida"	"12"	"Female"	"F"	"Homicide"	"3"	1816	66853446	2.7
	"Florida"	"12"	"Female"	"F"	"Undetermined "	"4"	368	66853446	0.6
	"Florida"	"12"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	13	66853446	Unreliable
	"Florida"	"12"	"Male"	"M"	"Unintentional"	"1"	61992	64293605	96.4
	"Florida"	"12"	"Male"	"M"	"Suicide"	"2"	15931	64293605	24.8
	"Florida"	"12"	"Male"	"M"	"Homicide"	"3"	6665	64293605	10.4
	"Florida"	"12"	"Male"	"M"	"Undetermined "	"4"	674	64293605	1.0
	"Florida"	"12"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	244	64293605	0.4
	"Georgia"	"13"	"Female"	"F"	"Unintentional"	"1"	11433	33135770	34.5
	"Georgia"	"13"	"Female"	"F"	"Suicide"	"2"	1992	33135770	6.0
	"Georgia"	"13"	"Female"	"F"	"Homicide"	"3"	1197	33135770	3.6
	"Georgia"	"13"	"Female"	"F"	"Undetermined "	"4"	234	33135770	0.7
	"Georgia"	"13"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	14	33135770	Unreliable
	"Georgia"	"13"	"Male"	"M"	"Unintentional"	"1"	22274	31452814	70.8
	"Georgia"	"13"	"Male"	"M"	"Suicide"	"2"	7623	31452814	24.2
	"Georgia"	"13"	"Male"	"M"	"Homicide"	"3"	5035	31452814	16.0
	"Georgia"	"13"	"Male"	"M"	"Undetermined "	"4"	347	31452814	1.1
	"Georgia"	"13"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	181	31452814	0.6
	"Hawaii"	"15"	"Female"	"F"	"Unintentional"	"1"	1222	4267009	28.6
	"Hawaii"	"15"	"Female"	"F"	"Suicide"	"2"	301	4267009	7.1
	"Hawaii"	"15"	"Female"	"F"	"Homicide"	"3"	62	4267009	1.5
	"Hawaii"	"15"	"Female"	"F"	"Undetermined "	"4"	37	4267009	0.9
	"Hawaii"	"15"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	0	4267009	Unreliable
	"Hawaii"	"15"	"Male"	"M"	"Unintentional"	"1"	2866	4293247	66.8
	"Hawaii"	"15"	"Male"	"M"	"Suicide"	"2"	954	4293247	22.2
	"Hawaii"	"15"	"Male"	"M"	"Homicide"	"3"	182	4293247	4.2
	"Hawaii"	"15"	"Male"	"M"	"Undetermined "	"4"	96	4293247	2.2
	"Hawaii"	"15"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	21	4293247	0.5
	"Idaho"	"16"	"Female"	"F"	"Unintentional"	"1"	2380	5557525	42.8
	"Idaho"	"16"	"Female"	"F"	"Suicide"	"2"	508	5557525	9.1
	"Idaho"	"16"	"Female"	"F"	"Homicide"	"3"	72	5557525	1.3
	"Idaho"	"16"	"Female"	"F"	"Undetermined "	"4"	55	5557525	1.0
	"Idaho"	"16"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	5557525	Suppressed
	"Idaho"	"16"	"Male"	"M"	"Unintentional"	"1"	3988	5615343	71.0
	"Idaho"	"16"	"Male"	"M"	"Suicide"	"2"	1984	5615343	35.3
	"Idaho"	"16"	"Male"	"M"	"Homicide"	"3"	177	5615343	3.2
	"Idaho"	"16"	"Male"	"M"	"Undetermined "	"4"	97	5615343	1.7
	"Idaho"	"16"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	54	5615343	1.0
	"Illinois"	"17"	"Female"	"F"	"Unintentional"	"1"	13501	38435957	35.1
	"Illinois"	"17"	"Female"	"F"	"Suicide"	"2"	1938	38435957	5.0
	"Illinois"	"17"	"Female"	"F"	"Homicide"	"3"	1140	38435957	3.0
	"Illinois"	"17"	"Female"	"F"	"Undetermined "	"4"	262	38435957	0.7
	"Illinois"	"17"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	38435957	Suppressed
	"Illinois"	"17"	"Male"	"M"	"Unintentional"	"1"	28291	37367664	75.7
	"Illinois"	"17"	"Male"	"M"	"Suicide"	"2"	6905	37367664	18.5
	"Illinois"	"17"	"Male"	"M"	"Homicide"	"3"	6156	37367664	16.5
	"Illinois"	"17"	"Male"	"M"	"Undetermined "	"4"	551	37367664	1.5
	"Illinois"	"17"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	79	37367664	0.2
	"Indiana"	"18"	"Female"	"F"	"Unintentional"	"1"	9358	20550021	45.5
	"Indiana"	"18"	"Female"	"F"	"Suicide"	"2"	1232	20550021	6.0
	"Indiana"	"18"	"Female"	"F"	"Homicide"	"3"	707	20550021	3.4
	"Indiana"	"18"	"Female"	"F"	"Undetermined "	"4"	404	20550021	2.0
	"Indiana"	"18"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	20550021	Suppressed
	"Indiana"	"18"	"Male"	"M"	"Unintentional"	"1"	17675	20130250	87.8
	"Indiana"	"18"	"Male"	"M"	"Suicide"	"2"	5311	20130250	26.4
	"Indiana"	"18"	"Male"	"M"	"Homicide"	"3"	2552	20130250	12.7
	"Indiana"	"18"	"Male"	"M"	"Undetermined "	"4"	717	20130250	3.6
	"Indiana"	"18"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	105	20130250	0.5
	"Iowa"	"19"	"Female"	"F"	"Unintentional"	"1"	3850	9541634	40.3
	"Iowa"	"19"	"Female"	"F"	"Suicide"	"2"	578	9541634	6.1
	"Iowa"	"19"	"Female"	"F"	"Homicide"	"3"	148	9541634	1.6
	"Iowa"	"19"	"Female"	"F"	"Undetermined "	"4"	96	9541634	1.0
	"Iowa"	"19"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	9541634	Suppressed
	"Iowa"	"19"	"Male"	"M"	"Unintentional"	"1"	6260	9533742	65.7
	"Iowa"	"19"	"Male"	"M"	"Suicide"	"2"	2635	9533742	27.6
	"Iowa"	"19"	"Male"	"M"	"Homicide"	"3"	404	9533742	4.2
	"Iowa"	"19"	"Male"	"M"	"Undetermined "	"4"	154	9533742	1.6
	"Iowa"	"19"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	12	9533742	Unreliable
	"Kansas"	"20"	"Female"	"F"	"Unintentional"	"1"	3889	8776675	44.3
	"Kansas"	"20"	"Female"	"F"	"Suicide"	"2"	660	8776675	7.5
	"Kansas"	"20"	"Female"	"F"	"Homicide"	"3"	237	8776675	2.7
	"Kansas"	"20"	"Female"	"F"	"Undetermined "	"4"	100	8776675	1.1
	"Kansas"	"20"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	8776675	Suppressed
	"Kansas"	"20"	"Male"	"M"	"Unintentional"	"1"	6599	8774227	75.2
	"Kansas"	"20"	"Male"	"M"	"Suicide"	"2"	2675	8774227	30.5
	"Kansas"	"20"	"Male"	"M"	"Homicide"	"3"	782	8774227	8.9
	"Kansas"	"20"	"Male"	"M"	"Undetermined "	"4"	154	8774227	1.8
	"Kansas"	"20"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	23	8774227	0.3
	"Kentucky"	"21"	"Female"	"F"	"Unintentional"	"1"	7976	13635766	58.5
	"Kentucky"	"21"	"Female"	"F"	"Suicide"	"2"	850	13635766	6.2
	"Kentucky"	"21"	"Female"	"F"	"Homicide"	"3"	453	13635766	3.3
	"Kentucky"	"21"	"Female"	"F"	"Undetermined "	"4"	166	13635766	1.2
	"Kentucky"	"21"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	13635766	Suppressed
	"Kentucky"	"21"	"Male"	"M"	"Unintentional"	"1"	14757	13325418	110.7
	"Kentucky"	"21"	"Male"	"M"	"Suicide"	"2"	3959	13325418	29.7
	"Kentucky"	"21"	"Male"	"M"	"Homicide"	"3"	1531	13325418	11.5
	"Kentucky"	"21"	"Male"	"M"	"Undetermined "	"4"	255	13325418	1.9
	"Kentucky"	"21"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	73	13325418	0.5
	"Louisiana"	"22"	"Female"	"F"	"Unintentional"	"1"	7046	14188699	49.7
	"Louisiana"	"22"	"Female"	"F"	"Suicide"	"2"	835	14188699	5.9
	"Louisiana"	"22"	"Female"	"F"	"Homicide"	"3"	799	14188699	5.6
	"Louisiana"	"22"	"Female"	"F"	"Undetermined "	"4"	274	14188699	1.9
	"Louisiana"	"22"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	14188699	Suppressed
	"Louisiana"	"22"	"Male"	"M"	"Unintentional"	"1"	15209	13553428	112.2
	"Louisiana"	"22"	"Male"	"M"	"Suicide"	"2"	3365	13553428	24.8
	"Louisiana"	"22"	"Male"	"M"	"Homicide"	"3"	3964	13553428	29.2
	"Louisiana"	"22"	"Male"	"M"	"Undetermined "	"4"	548	13553428	4.0
	"Louisiana"	"22"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	57	13553428	0.4
	"Maine"	"23"	"Female"	"F"	"Unintentional"	"1"	2599	4164000	62.4
	"Maine"	"23"	"Female"	"F"	"Suicide"	"2"	313	4164000	7.5
	"Maine"	"23"	"Female"	"F"	"Homicide"	"3"	62	4164000	1.5
	"Maine"	"23"	"Female"	"F"	"Undetermined "	"4"	48	4164000	1.2
	"Maine"	"23"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	4164000	Suppressed
	"Maine"	"23"	"Male"	"M"	"Unintentional"	"1"	4558	4022066	113.3
	"Maine"	"23"	"Male"	"M"	"Suicide"	"2"	1286	4022066	32.0
	"Maine"	"23"	"Male"	"M"	"Homicide"	"3"	101	4022066	2.5
	"Maine"	"23"	"Male"	"M"	"Undetermined "	"4"	68	4022066	1.7
	"Maine"	"23"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	26	4022066	0.6
	"Maryland"	"24"	"Female"	"F"	"Unintentional"	"1"	6315	18855146	33.5
	"Maryland"	"24"	"Female"	"F"	"Suicide"	"2"	789	18855146	4.2
	"Maryland"	"24"	"Female"	"F"	"Homicide"	"3"	549	18855146	2.9
	"Maryland"	"24"	"Female"	"F"	"Undetermined "	"4"	2484	18855146	13.2
	"Maryland"	"24"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	0	18855146	Unreliable
	"Maryland"	"24"	"Male"	"M"	"Unintentional"	"1"	11421	17799096	64.2
	"Maryland"	"24"	"Male"	"M"	"Suicide"	"2"	2930	17799096	16.5
	"Maryland"	"24"	"Male"	"M"	"Homicide"	"3"	3168	17799096	17.8
	"Maryland"	"24"	"Male"	"M"	"Undetermined "	"4"	6551	17799096	36.8
	"Maryland"	"24"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	54	17799096	0.3
	"Massachusetts"	"25"	"Female"	"F"	"Unintentional"	"1"	8964	21362717	42.0
	"Massachusetts"	"25"	"Female"	"F"	"Suicide"	"2"	923	21362717	4.3
	"Massachusetts"	"25"	"Female"	"F"	"Homicide"	"3"	207	21362717	1.0
	"Massachusetts"	"25"	"Female"	"F"	"Undetermined "	"4"	202	21362717	0.9
	"Massachusetts"	"25"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	21362717	Suppressed
	"Massachusetts"	"25"	"Male"	"M"	"Unintentional"	"1"	17013	20293605	83.8
	"Massachusetts"	"25"	"Male"	"M"	"Suicide"	"2"	2970	20293605	14.6
	"Massachusetts"	"25"	"Male"	"M"	"Homicide"	"3"	804	20293605	4.0
	"Massachusetts"	"25"	"Male"	"M"	"Undetermined "	"4"	310	20293605	1.5
	"Massachusetts"	"25"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	33	20293605	0.2
	"Michigan"	"26"	"Female"	"F"	"Unintentional"	"1"	12984	30386364	42.7
	"Michigan"	"26"	"Female"	"F"	"Suicide"	"2"	1837	30386364	6.0
	"Michigan"	"26"	"Female"	"F"	"Homicide"	"3"	893	30386364	2.9
	"Michigan"	"26"	"Female"	"F"	"Undetermined "	"4"	830	30386364	2.7
	"Michigan"	"26"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	30386364	Suppressed
	"Michigan"	"26"	"Male"	"M"	"Unintentional"	"1"	23187	29685148	78.1
	"Michigan"	"26"	"Male"	"M"	"Suicide"	"2"	7144	29685148	24.1
	"Michigan"	"26"	"Male"	"M"	"Homicide"	"3"	3403	29685148	11.5
	"Michigan"	"26"	"Male"	"M"	"Undetermined "	"4"	1614	29685148	5.4
	"Michigan"	"26"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	52	29685148	0.2
	"Minnesota"	"27"	"Female"	"F"	"Unintentional"	"1"	8091	17040432	47.5
	"Minnesota"	"27"	"Female"	"F"	"Suicide"	"2"	999	17040432	5.9
	"Minnesota"	"27"	"Female"	"F"	"Homicide"	"3"	260	17040432	1.5
	"Minnesota"	"27"	"Female"	"F"	"Undetermined "	"4"	170	17040432	1.0
	"Minnesota"	"27"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	17040432	Suppressed
	"Minnesota"	"27"	"Male"	"M"	"Unintentional"	"1"	12241	17030210	71.9
	"Minnesota"	"27"	"Male"	"M"	"Suicide"	"2"	3808	17030210	22.4
	"Minnesota"	"27"	"Male"	"M"	"Homicide"	"3"	850	17030210	5.0
	"Minnesota"	"27"	"Male"	"M"	"Undetermined "	"4"	285	17030210	1.7
	"Minnesota"	"27"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	80	17030210	0.5
	"Mississippi"	"28"	"Female"	"F"	"Unintentional"	"1"	4431	9143505	48.5
	"Mississippi"	"28"	"Female"	"F"	"Suicide"	"2"	496	9143505	5.4
	"Mississippi"	"28"	"Female"	"F"	"Homicide"	"3"	565	9143505	6.2
	"Mississippi"	"28"	"Female"	"F"	"Undetermined "	"4"	110	9143505	1.2
	"Mississippi"	"28"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	9143505	Suppressed
	"Mississippi"	"28"	"Male"	"M"	"Unintentional"	"1"	8534	8615672	99.1
	"Mississippi"	"28"	"Male"	"M"	"Suicide"	"2"	2125	8615672	24.7
	"Mississippi"	"28"	"Male"	"M"	"Homicide"	"3"	2602	8615672	30.2
	"Mississippi"	"28"	"Male"	"M"	"Undetermined "	"4"	209	8615672	2.4
	"Mississippi"	"28"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	43	8615672	0.5
	"Missouri"	"29"	"Female"	"F"	"Unintentional"	"1"	9494	18762702	50.6
	"Missouri"	"29"	"Female"	"F"	"Suicide"	"2"	1336	18762702	7.1
	"Missouri"	"29"	"Female"	"F"	"Homicide"	"3"	861	18762702	4.6
	"Missouri"	"29"	"Female"	"F"	"Undetermined "	"4"	222	18762702	1.2
	"Missouri"	"29"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	18762702	Suppressed
	"Missouri"	"29"	"Male"	"M"	"Unintentional"	"1"	17219	18195026	94.6
	"Missouri"	"29"	"Male"	"M"	"Suicide"	"2"	5699	18195026	31.3
	"Missouri"	"29"	"Male"	"M"	"Homicide"	"3"	3300	18195026	18.1
	"Missouri"	"29"	"Male"	"M"	"Undetermined "	"4"	372	18195026	2.0
	"Missouri"	"29"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	84	18195026	0.5
	"Montana"	"30"	"Female"	"F"	"Unintentional"	"1"	1643	3251534	50.5
	"Montana"	"30"	"Female"	"F"	"Suicide"	"2"	376	3251534	11.6
	"Montana"	"30"	"Female"	"F"	"Homicide"	"3"	95	3251534	2.9
	"Montana"	"30"	"Female"	"F"	"Undetermined "	"4"	41	3251534	1.3
	"Montana"	"30"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	3251534	Suppressed
	"Montana"	"30"	"Male"	"M"	"Unintentional"	"1"	2780	3320076	83.7
	"Montana"	"30"	"Male"	"M"	"Suicide"	"2"	1467	3320076	44.2
	"Montana"	"30"	"Male"	"M"	"Homicide"	"3"	204	3320076	6.1
	"Montana"	"30"	"Male"	"M"	"Undetermined "	"4"	73	3320076	2.2
	"Montana"	"30"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	39	3320076	1.2
	"Nebraska"	"31"	"Female"	"F"	"Unintentional"	"1"	1949	5841362	33.4
	"Nebraska"	"31"	"Female"	"F"	"Suicide"	"2"	313	5841362	5.4
	"Nebraska"	"31"	"Female"	"F"	"Homicide"	"3"	95	5841362	1.6
	"Nebraska"	"31"	"Female"	"F"	"Undetermined "	"4"	30	5841362	0.5
	"Nebraska"	"31"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	5841362	Suppressed
	"Nebraska"	"31"	"Male"	"M"	"Unintentional"	"1"	3387	5869860	57.7
	"Nebraska"	"31"	"Male"	"M"	"Suicide"	"2"	1428	5869860	24.3
	"Nebraska"	"31"	"Male"	"M"	"Homicide"	"3"	281	5869860	4.8
	"Nebraska"	"31"	"Male"	"M"	"Undetermined "	"4"	73	5869860	1.2
	"Nebraska"	"31"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	20	5869860	0.3
	"Nevada"	"32"	"Female"	"F"	"Unintentional"	"1"	3764	9333919	40.3
	"Nevada"	"32"	"Female"	"F"	"Suicide"	"2"	892	9333919	9.6
	"Nevada"	"32"	"Female"	"F"	"Homicide"	"3"	309	9333919	3.3
	"Nevada"	"32"	"Female"	"F"	"Undetermined "	"4"	102	9333919	1.1
	"Nevada"	"32"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	9333919	Suppressed
	"Nevada"	"32"	"Male"	"M"	"Unintentional"	"1"	7621	9434827	80.8
	"Nevada"	"32"	"Male"	"M"	"Suicide"	"2"	3089	9434827	32.7
	"Nevada"	"32"	"Male"	"M"	"Homicide"	"3"	1065	9434827	11.3
	"Nevada"	"32"	"Male"	"M"	"Undetermined "	"4"	154	9434827	1.6
	"Nevada"	"32"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	72	9434827	0.8
	"New Hampshire"	"33"	"Female"	"F"	"Unintentional"	"1"	2092	4155034	50.3
	"New Hampshire"	"33"	"Female"	"F"	"Suicide"	"2"	298	4155034	7.2
	"New Hampshire"	"33"	"Female"	"F"	"Homicide"	"3"	57	4155034	1.4
	"New Hampshire"	"33"	"Female"	"F"	"Undetermined "	"4"	25	4155034	0.6
	"New Hampshire"	"33"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	Suppressed	4155034	Suppressed
	"New Hampshire"	"33"	"Male"	"M"	"Unintentional"	"1"	3609	4113687	87.7
	"New Hampshire"	"33"	"Male"	"M"	"Suicide"	"2"	1161	4113687	28.2
	"New Hampshire"	"33"	"Male"	"M"	"Homicide"	"3"	85	4113687	2.1
	"New Hampshire"	"33"	"Male"	"M"	"Undetermined "	"4"	39	4113687	0.9
	"New Hampshire"	"33"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	26	4113687	0.6
	"New Jersey"	"34"	"Female"	"F"	"Unintentional"	"1"	8851	27757653	31.9
	"New Jersey"	"34"	"Female"	"F"	"Suicide"	"2"	996	27757653	3.6
	"New Jersey"	"34"	"Female"	"F"	"Homicide"	"3"	385	27757653	1.4
	"New Jersey"	"34"	"Female"	"F"	"Undetermined "	"4"	141	27757653	0.5
	"New Jersey"	"34"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	0	27757653	Unreliable
