"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Injury Intent"	"Injury Intent Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	188	15429919	1.2
	"Alabama"	"01"	"Female"	"F"	"Suicide"	"2"	"Struck by or against"	"GRINJ-016"	0	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	206	15429919	1.3
	"Alabama"	"01"	"Female"	"F"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Homicide"	"3"	"Cut/Pierce"	"GRINJ-001"	47	15429919	0.3
	"Alabama"	"01"	"Female"	"F"	"Homicide"	"3"	"Drowning"	"GRINJ-002"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Homicide"	"3"	"Fall"	"GRINJ-003"	0	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Homicide"	"3"	"Fire/Flame"	"GRINJ-004"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Homicide"	"3"	"Hot object/Substance"	"GRINJ-005"	0	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Homicide"	"3"	"Firearm"	"GRINJ-006"	520	15429919	3.4
	"Alabama"	"01"	"Female"	"F"	"Homicide"	"3"	"Other land transport"	"GRINJ-011"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Homicide"	"3"	"Other transport"	"GRINJ-012"	0	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Homicide"	"3"	"Poisoning"	"GRINJ-015"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Homicide"	"3"	"Struck by or against"	"GRINJ-016"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Homicide"	"3"	"Suffocation"	"GRINJ-017"	23	15429919	0.1
	"Alabama"	"01"	"Female"	"F"	"Homicide"	"3"	"Other specified, classifiable Injury"	"GRINJ-018"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Homicide"	"3"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Homicide"	"3"	"Unspecified Injury"	"GRINJ-020"	60	15429919	0.4
	"Alabama"	"01"	"Female"	"F"	"Undetermined "	"4"	"Cut/Pierce"	"GRINJ-001"	0	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Undetermined "	"4"	"Drowning"	"GRINJ-002"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Undetermined "	"4"	"Fall"	"GRINJ-003"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Undetermined "	"4"	"Fire/Flame"	"GRINJ-004"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Undetermined "	"4"	"Hot object/Substance"	"GRINJ-005"	0	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Undetermined "	"4"	"Firearm"	"GRINJ-006"	15	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Undetermined "	"4"	"Other land transport"	"GRINJ-011"	0	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Undetermined "	"4"	"Poisoning"	"GRINJ-015"	87	15429919	0.6
	"Alabama"	"01"	"Female"	"F"	"Undetermined "	"4"	"Struck by or against"	"GRINJ-016"	0	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Undetermined "	"4"	"Suffocation"	"GRINJ-017"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Undetermined "	"4"	"Other specified, classifiable Injury"	"GRINJ-018"	0	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Undetermined "	"4"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Undetermined "	"4"	"Unspecified Injury"	"GRINJ-020"	20	15429919	0.1
	"Alabama"	"01"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Cut/Pierce"	"GRINJ-001"	0	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Fire/Flame"	"GRINJ-004"	0	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Firearm"	"GRINJ-006"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Other transport"	"GRINJ-012"	0	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Poisoning"	"GRINJ-015"	0	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Struck by or against"	"GRINJ-016"	0	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Other specified, classifiable Injury"	"GRINJ-018"	0	15429919	Unreliable
	"Alabama"	"01"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	Suppressed	15429919	Suppressed
	"Alabama"	"01"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Unspecified Injury"	"GRINJ-020"	0	15429919	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Cut/Pierce"	"GRINJ-001"	22	14505310	0.2
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Drowning"	"GRINJ-002"	338	14505310	2.3
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Fall"	"GRINJ-003"	1061	14505310	7.3
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Fire/Flame"	"GRINJ-004"	375	14505310	2.6
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Hot object/Substance"	"GRINJ-005"	Suppressed	14505310	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Firearm"	"GRINJ-006"	121	14505310	0.8
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Machinery"	"GRINJ-007"	68	14505310	0.5
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Motor Vehicle Traffic"	"GRINJ-008"	4297	14505310	29.6
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Other Pedal cyclist"	"GRINJ-009"	21	14505310	0.1
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Other Pedestrian"	"GRINJ-010"	70	14505310	0.5
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Other land transport"	"GRINJ-011"	127	14505310	0.9
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Other transport"	"GRINJ-012"	89	14505310	0.6
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Natural/Environmental"	"GRINJ-013"	185	14505310	1.3
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Overexertion"	"GRINJ-014"	Suppressed	14505310	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Poisoning"	"GRINJ-015"	4697	14505310	32.4
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Struck by or against"	"GRINJ-016"	113	14505310	0.8
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Suffocation"	"GRINJ-017"	370	14505310	2.6
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Other specified, classifiable Injury"	"GRINJ-018"	86	14505310	0.6
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	47	14505310	0.3
	"Alabama"	"01"	"Male"	"M"	"Unintentional"	"1"	"Unspecified Injury"	"GRINJ-020"	751	14505310	5.2
	"Alabama"	"01"	"Male"	"M"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	22	14505310	0.2
	"Alabama"	"01"	"Male"	"M"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	10	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Suicide"	"2"	"Fall"	"GRINJ-003"	26	14505310	0.2
	"Alabama"	"01"	"Male"	"M"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	Suppressed	14505310	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Suicide"	"2"	"Hot object/Substance"	"GRINJ-005"	0	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	2914	14505310	20.1
	"Alabama"	"01"	"Male"	"M"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	Suppressed	14505310	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	162	14505310	1.1
	"Alabama"	"01"	"Male"	"M"	"Suicide"	"2"	"Struck by or against"	"GRINJ-016"	0	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	770	14505310	5.3
	"Alabama"	"01"	"Male"	"M"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	13	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	Suppressed	14505310	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	Suppressed	14505310	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Homicide"	"3"	"Cut/Pierce"	"GRINJ-001"	162	14505310	1.1
	"Alabama"	"01"	"Male"	"M"	"Homicide"	"3"	"Drowning"	"GRINJ-002"	Suppressed	14505310	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Homicide"	"3"	"Fall"	"GRINJ-003"	0	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Homicide"	"3"	"Fire/Flame"	"GRINJ-004"	Suppressed	14505310	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Homicide"	"3"	"Hot object/Substance"	"GRINJ-005"	Suppressed	14505310	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Homicide"	"3"	"Firearm"	"GRINJ-006"	2905	14505310	20.0
	"Alabama"	"01"	"Male"	"M"	"Homicide"	"3"	"Other land transport"	"GRINJ-011"	Suppressed	14505310	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Homicide"	"3"	"Other transport"	"GRINJ-012"	0	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Homicide"	"3"	"Poisoning"	"GRINJ-015"	Suppressed	14505310	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Homicide"	"3"	"Struck by or against"	"GRINJ-016"	18	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Homicide"	"3"	"Suffocation"	"GRINJ-017"	24	14505310	0.2
	"Alabama"	"01"	"Male"	"M"	"Homicide"	"3"	"Other specified, classifiable Injury"	"GRINJ-018"	19	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Homicide"	"3"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	33	14505310	0.2
	"Alabama"	"01"	"Male"	"M"	"Homicide"	"3"	"Unspecified Injury"	"GRINJ-020"	113	14505310	0.8
	"Alabama"	"01"	"Male"	"M"	"Undetermined "	"4"	"Cut/Pierce"	"GRINJ-001"	Suppressed	14505310	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Undetermined "	"4"	"Drowning"	"GRINJ-002"	Suppressed	14505310	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Undetermined "	"4"	"Fall"	"GRINJ-003"	Suppressed	14505310	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Undetermined "	"4"	"Fire/Flame"	"GRINJ-004"	11	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Undetermined "	"4"	"Hot object/Substance"	"GRINJ-005"	0	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Undetermined "	"4"	"Firearm"	"GRINJ-006"	55	14505310	0.4
	"Alabama"	"01"	"Male"	"M"	"Undetermined "	"4"	"Other land transport"	"GRINJ-011"	Suppressed	14505310	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Undetermined "	"4"	"Poisoning"	"GRINJ-015"	102	14505310	0.7
	"Alabama"	"01"	"Male"	"M"	"Undetermined "	"4"	"Struck by or against"	"GRINJ-016"	0	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Undetermined "	"4"	"Suffocation"	"GRINJ-017"	10	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Undetermined "	"4"	"Other specified, classifiable Injury"	"GRINJ-018"	Suppressed	14505310	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Undetermined "	"4"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	16	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Undetermined "	"4"	"Unspecified Injury"	"GRINJ-020"	52	14505310	0.4
	"Alabama"	"01"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	"Cut/Pierce"	"GRINJ-001"	0	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	"Fire/Flame"	"GRINJ-004"	0	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	"Firearm"	"GRINJ-006"	37	14505310	0.3
	"Alabama"	"01"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	"Other transport"	"GRINJ-012"	0	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	"Poisoning"	"GRINJ-015"	0	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	"Struck by or against"	"GRINJ-016"	0	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	"Other specified, classifiable Injury"	"GRINJ-018"	10	14505310	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	Suppressed	14505310	Suppressed
	"Alabama"	"01"	"Male"	"M"	"Legal Intervention / Operations of War"	"5"	"Unspecified Injury"	"GRINJ-020"	Suppressed	14505310	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Cut/Pierce"	"GRINJ-001"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Drowning"	"GRINJ-002"	31	2096779	1.5
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Fall"	"GRINJ-003"	172	2096779	8.2
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Fire/Flame"	"GRINJ-004"	36	2096779	1.7
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Hot object/Substance"	"GRINJ-005"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Firearm"	"GRINJ-006"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Machinery"	"GRINJ-007"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Motor Vehicle Traffic"	"GRINJ-008"	157	2096779	7.5
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Other Pedal cyclist"	"GRINJ-009"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Other Pedestrian"	"GRINJ-010"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Other land transport"	"GRINJ-011"	19	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Other transport"	"GRINJ-012"	22	2096779	1.0
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Natural/Environmental"	"GRINJ-013"	47	2096779	2.2
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Overexertion"	"GRINJ-014"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Poisoning"	"GRINJ-015"	480	2096779	22.9
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Struck by or against"	"GRINJ-016"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Suffocation"	"GRINJ-017"	45	2096779	2.1
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Other specified, classifiable Injury"	"GRINJ-018"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Unintentional"	"1"	"Unspecified Injury"	"GRINJ-020"	23	2096779	1.1
	"Alaska"	"02"	"Female"	"F"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Suicide"	"2"	"Fall"	"GRINJ-003"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Suicide"	"2"	"Hot object/Substance"	"GRINJ-005"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	104	2096779	5.0
	"Alaska"	"02"	"Female"	"F"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	38	2096779	1.8
	"Alaska"	"02"	"Female"	"F"	"Suicide"	"2"	"Struck by or against"	"GRINJ-016"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	103	2096779	4.9
	"Alaska"	"02"	"Female"	"F"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Homicide"	"3"	"Cut/Pierce"	"GRINJ-001"	12	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Homicide"	"3"	"Drowning"	"GRINJ-002"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Homicide"	"3"	"Fall"	"GRINJ-003"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Homicide"	"3"	"Fire/Flame"	"GRINJ-004"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Homicide"	"3"	"Hot object/Substance"	"GRINJ-005"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Homicide"	"3"	"Firearm"	"GRINJ-006"	66	2096779	3.1
	"Alaska"	"02"	"Female"	"F"	"Homicide"	"3"	"Other land transport"	"GRINJ-011"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Homicide"	"3"	"Other transport"	"GRINJ-012"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Homicide"	"3"	"Poisoning"	"GRINJ-015"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Homicide"	"3"	"Struck by or against"	"GRINJ-016"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Homicide"	"3"	"Suffocation"	"GRINJ-017"	16	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Homicide"	"3"	"Other specified, classifiable Injury"	"GRINJ-018"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Homicide"	"3"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Homicide"	"3"	"Unspecified Injury"	"GRINJ-020"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Undetermined "	"4"	"Cut/Pierce"	"GRINJ-001"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Undetermined "	"4"	"Drowning"	"GRINJ-002"	10	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Undetermined "	"4"	"Fall"	"GRINJ-003"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Undetermined "	"4"	"Fire/Flame"	"GRINJ-004"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Undetermined "	"4"	"Hot object/Substance"	"GRINJ-005"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Undetermined "	"4"	"Firearm"	"GRINJ-006"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Undetermined "	"4"	"Other land transport"	"GRINJ-011"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Undetermined "	"4"	"Poisoning"	"GRINJ-015"	42	2096779	2.0
	"Alaska"	"02"	"Female"	"F"	"Undetermined "	"4"	"Struck by or against"	"GRINJ-016"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Undetermined "	"4"	"Suffocation"	"GRINJ-017"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Undetermined "	"4"	"Other specified, classifiable Injury"	"GRINJ-018"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Undetermined "	"4"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	Suppressed	2096779	Suppressed
	"Alaska"	"02"	"Female"	"F"	"Undetermined "	"4"	"Unspecified Injury"	"GRINJ-020"	10	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Cut/Pierce"	"GRINJ-001"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Fire/Flame"	"GRINJ-004"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Firearm"	"GRINJ-006"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Other transport"	"GRINJ-012"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Poisoning"	"GRINJ-015"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Struck by or against"	"GRINJ-016"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Other specified, classifiable Injury"	"GRINJ-018"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	0	2096779	Unreliable
	"Alaska"	"02"	"Female"	"F"	"Legal Intervention / Operations of War"	"5"	"Unspecified Injury"	"GRINJ-020"	0	2096779	Unreliable
